Time slots ,Solar,Solar2
465,849,459.945
466,965,699.024
467,1018,878.539
468,1045,986.414
469,1048,1010.266
470,1034,950.175
471,995,809.712
472,912,598.914
473,722,336.663
474,0,38
475,0,38
476,0,38
477,0,38
478,0,38
479,0,38
480,0,38
481,0,38
482,0,38
483,0,38
484,0,38
485,0,38
486,0,38
487,0,38
488,173,112.98
489,844,455.684
490,966,696.871
491,1023,877.639
492,1036,983.155
493,1041,1007.685
494,615,747.749
495,989,809.106
496,906,600.24
497,687,319.966
498,0,38
499,0,38
500,0,38
501,0,38
502,0,38
503,0,38
504,0,38
505,0,38
506,0,38
507,0,38
508,0,38
509,0,38
510,0,38
511,0,38
512,208,123.164
513,821,451.051
514,950,692.801
515,1010,874.126
516,1037,981.063
517,1041,1006.295
518,1026,947.302
519,989,809.106
520,911,602.731
521,728,343.156
522,0,38
523,0,38
524,0,38
525,0,38
526,0,38
527,0,38
528,0,38
529,0,38
530,0,38
531,0,38
532,0,38
533,0,38
534,0,38
535,0,38
536,437,173.891
537,805,445.792
538,934,685.126
539,992,864.452
540,1004,966.182
541,1004,987.674
542,983,924.44
543,651,662.717
544,582,483.719
545,121,159.746
546,0,38
547,0,38
548,0,38
549,0,38
550,0,38
551,0,38
552,0,38
553,0,38
554,0,38
555,0,38
556,0,38
557,0,38
558,0,38
559,0,38
560,0,38.945
561,0,47.463
562,233,382.268
563,896,832.616
564,474,717.333
565,233,574.198
566,963,921.1
567,934,790.423
568,862,592.746
569,689,337.048
570,0,38
571,0,38
572,0,38
573,0,38
574,0,38
575,0,38
576,0,38
577,0,38
578,0,38
579,0,38
580,0,38
581,0,38
582,0,38
583,0,38
584,220,127.825
585,860,467.064
586,982,713.295
587,1039,898.259
588,1040,1002.504
589,1048,1030.94
590,1036,972.201
591,1006,834.365
592,931,623.901
593,759,361.259
594,0,38
595,0,38
596,0,38
597,0,38
598,0,38
599,0,38
600,0,38
601,0,38
602,0,38
603,0,38
604,0,38
605,0,38
606,0,38
607,0,38
608,158,112.594
609,848,467.34
610,968,711.82
611,1024,894.573
612,1032,999.017
613,1037,1026.181
614,1024,967.247
615,991,829.69
616,915,620.781
617,741,358.697
618,0,38
619,0,38
620,0,38
621,0,38
622,0,38
623,0,38
624,0,38
625,0,38
626,0,38
627,0,38
628,0,38
629,0,38
630,0,38
631,0,38
632,225,130.643
633,98,199.596
634,100,299.208
635,1017,889.796
636,1044,999.367
637,1048,1025.011
638,1033,965.253
639,794,728.105
640,530,467.982
641,753,359.816
642,0,38
643,0,38
644,0,38
645,0,38
646,0,38
647,0,38
648,0,38
649,0,38
650,0,38
651,0,38
652,0,38
653,0,38
654,0,38
655,0,38
656,452,176.97
657,803,447.95
658,921,683.932
659,973,860.454
660,970,957.931
661,974,983.475
662,604,765.234
663,465,601.362
664,845,593.7
665,659,336.589
666,0,38
667,0,38
668,0,38
669,0,38
670,0,38
671,0,38
672,0,38
673,0,38
674,0,38
675,0,38
676,0,38
677,0,38
678,0,38
679,0,38
680,191,122.001
681,0,100.319
682,0,64.549
683,0,155.436
684,2,181.907
685,72,419.709
686,18,270.84
687,11,220.508
688,0,102.587
689,25,126.393
690,0,38
691,0,38
692,0,38
693,0,38
694,0,38
695,0,38
696,0,38
697,0,38
698,0,38
699,0,38
700,0,38
701,0,38
702,0,38
703,0,38
704,0,41.78
705,0,121.24
706,336,450.417
707,132,431.142
708,16,272.212
709,0,79.806
710,0,115.028
711,0,86.426
712,0,74.989
713,25,128.532
714,0,38
715,0,38
716,0,38
717,0,38
718,0,38
719,0,38
720,0,38
721,0,38
722,0,38
723,0,38
724,0,38
725,0,38
726,0,38
727,0,38
728,546,198.765
729,876,480.162
730,995,728.417
731,1050,916.546
732,1069,1029.481
733,1074,1057.454
734,1063,1001.409
735,1031,862.515
736,963,652.754
737,810,388.147
738,0,38
739,0,38
740,0,38
741,0,38
742,0,38
743,0,38
744,0,38
745,0,38
746,0,38
747,0,38
748,0,38
749,0,38
750,0,38
751,0,38
752,436,174.129
753,771,442.982
754,900,679.795
755,241,513.645
756,986,969.336
757,201,571.051
758,984,945.443
759,952,813.453
760,880,612.368
761,718,360.762
762,0,38
763,0,38
764,0,38
765,0,38
766,0,38
767,0,38
768,0,38
769,0,38
770,0,38
771,0,38
772,0,38
773,0,38
774,0,38
775,0,38
776,441,176.91
777,775,450.224
778,904,688.493
779,966,871.278
780,999,981.473
781,1004,1007.162
782,991,951.347
783,956,817.493
784,883,614.887
785,725,363.701
786,227,97.126
787,0,38
788,0,38
789,0,38
790,0,38
791,0,38
792,0,38
793,0,38
794,0,38
795,0,38
796,0,38
797,0,38
798,0,38
799,0,38
800,477,183.058
801,794,456.294
802,916,694.081
803,973,875.114
804,999,983.73
805,1007,1011.045
806,995,954.777
807,962,821.827
808,890,619.7
809,732,367.753
810,245,101.938
811,0,38
812,0,38
813,0,38
814,0,38
815,0,38
816,0,38
817,0,38
818,0,38
819,0,38
820,0,38
821,0,38
822,0,38
823,0,38
824,520,191.655
825,825,461.883
826,941,700.865
827,995,881.162
828,1012,988.949
829,1018,1017.293
830,1006,961.735
831,968,826.177
832,897,623.339
833,743,372.18
834,270,108.056
835,0,38
836,0,38
837,0,38
838,0,38
839,0,38
840,0,38
841,0,38
842,0,38
843,0,38
844,0,38
845,0,38
846,0,38
847,0,38
848,500,188.815
849,809,461.849
850,928,702.601
851,986,886.914
852,1008,996.085
853,1016,1025.071
854,1005,969.266
855,977,836.302
856,910,634.025
857,761,378.648
858,294,113.944
859,0,38
860,0,38
861,0,38
862,0,38
863,0,38
864,0,38
865,0,38
866,0,38
867,0,38
868,0,38
869,0,38
870,0,38
871,0,38
872,548,199.556
873,844,476.391
874,956,719.823
875,1009,903.425
876,1029,1011.904
877,1033,1039.108
878,1019,982.376
879,981,845.102
880,910,639.532
881,755,382.937
882,288,114.037
883,0,38
884,0,38
885,0,38
886,0,38
887,0,38
888,0,38
889,0,38
890,0,38
891,0,38
892,0,38
893,0,38
894,0,38
895,0,38
896,562,202.504
897,851,479.66
898,961,723.663
899,1013,907.574
900,1031,1017.247
